District State,MySQL_District,GEOJson_District
Tamil-Nadu,Tiruppur,Tiruppur
Tamil-Nadu,Tiruvallur,Thiruvallur
Tamil-Nadu,Tiruvannamalai,Tiruvannamalai
Tamil-Nadu,Tiruvarur,Thiruvarur
Tamil-Nadu,Vellore,Vellore
Tamil-Nadu,Viluppuram,Viluppuram
Tamil-Nadu,Virudhunagar,Virudhunagar
Telangana,Adilabad,Adilabad
Telangana,Bhadradri Kothagudem,Bhadradri Kothagudem
Telangana,Hanumakonda,Warangal Urban
Telangana,Hyderabad,Hyderabad
Telangana,Jagtial,Jagitial
Telangana,Jangaon,Jangoan
Telangana,Jaya Shankar Bhalupally,Jayashankar
Telangana,Jayashankar Bhupalpally,Jayashankar
Telangana,Jogulamba Gadwal,Jogulamba Gadwal
Telangana,Kamareddy,Kamareddy
Telangana,Karimnagar,Karimnagar
Telangana,Khammam,Khammam
Telangana,Kumuram Bheem Asifabad,Kumuram Bheem Asifabad
Telangana,Mahabubabad,Mahabubabad
Telangana,Mahabubnagar,Mahabubnagar
Telangana,Mahbubnagar,Mahabubnagar
Telangana,Mancherial,Mancherial
Telangana,Medak,Medak
Telangana,Medchal Malkajgiri,Medchal Malkajgiri
Telangana,Mulugu,Mulugu
Telangana,Nagarkurnool,Nagarkurnool
Telangana,Nalgonda,Nalgonda
Telangana,Narayanpet,Narayanpet
Telangana,Nirmal,Nirmal
Telangana,Nizamabad,Nizamabad
Telangana,Peddapalle,Peddapalli
Telangana,Peddapalli,Peddapalli
Telangana,Rajanna Sircilla,Rajanna Sircilla
Telangana,Rangareddy,Ranga Reddy
Telangana,Sangareddy,Sangareddy
Telangana,Siddipet,Siddipet
Telangana,Suryapet,Suryapet
Telangana,Vikarabad,Vikarabad
Telangana,Wanaparthy,Wanaparthy
Telangana,Warangal,Warangal Rural
Telangana,Warangal Rural,Warangal Rural
Telangana,Warangal Urban,Warangal Urban
Telangana,Yadadri Bhuvanagiri,Yadadri Bhuvanagiri
Tripura,Dhalai,Dhalai
Tripura,Gomati,Gomati
Tripura,Khowai,Khowai
Tripura,North Tripura,North Tripura
Tripura,Sepahijala,Sipahijala
Tripura,South Tripura,South Tripura
Tripura,Unakoti,Unokoti
Tripura,West Tripura,West Tripura
Uttar-Pradesh,Agra,Agra
Uttar-Pradesh,Aligarh,Aligarh
Uttar-Pradesh,Ambedkar Nagar,Ambedkar Nagar
Uttar-Pradesh,Amethi,Amethi
Uttar-Pradesh,Amroha,Amroha
Uttar-Pradesh,Auraiya,Auraiya
Uttar-Pradesh,Ayodhya,Faizabad
Uttar-Pradesh,Azamgarh,Azamgarh
Uttar-Pradesh,Baghpat,Baghpat
Uttar-Pradesh,Bagpat,Baghpat
Uttar-Pradesh,Bahraich,Bahraich
Uttar-Pradesh,Ballia,Ballia
Uttar-Pradesh,Balrampur,Balrampur
Uttar-Pradesh,Banda,Banda
Uttar-Pradesh,Bara Banki,Bara Banki
Uttar-Pradesh,Barabanki,Bara Banki
Uttar-Pradesh,Bareilly,Bareilly
Uttar-Pradesh,Basti,Basti
Uttar-Pradesh,Bhadohi,Bhadohi
Uttar-Pradesh,Bijnor,Bijnor
Uttar-Pradesh,Budaun,Budaun
Uttar-Pradesh,Bulandshahr,Bulandshahr
Uttar-Pradesh,Chandauli,Chandauli
Uttar-Pradesh,Chitrakoot,Chitrakoot
Uttar-Pradesh,Deoria,Deoria
Uttar-Pradesh,Etah,Etah
Uttar-Pradesh,Etawah,Etawah
Uttar-Pradesh,Farrukhabad,Farrukhabad
Uttar-Pradesh,Fatehpur,Fatehpur
Uttar-Pradesh,Firozabad,Firozabad
Uttar-Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar
Uttar-Pradesh,Gautambuddha Nagar,Gautam Buddha Nagar
Uttar-Pradesh,Ghaziabad,Ghaziabad
Uttar-Pradesh,Ghazipur,Ghazipur
Uttar-Pradesh,Gonda,Gonda
Uttar-Pradesh,Gorakhpur,Gorakhpur
Uttar-Pradesh,Hamirpur,Hamirpur
Uttar-Pradesh,Hapur,Hapur
Uttar-Pradesh,Hardoi,Hardoi
Uttar-Pradesh,Hathras,Hathras
Uttar-Pradesh,Jalaun,Jalaun
Uttar-Pradesh,Jaunpur,Jaunpur
Uttar-Pradesh,Jhansi,Jhansi
Uttar-Pradesh,Kannauj,Kannauj
Uttar-Pradesh,Kanpur Dehat,Kanpur Dehat
Uttar-Pradesh,Kanpur Nagar,Kanpur Nagar
Uttar-Pradesh,Kasganj,Kasganj
Uttar-Pradesh,Kaushambi,Kaushambi
Uttar-Pradesh,Kheri,Kheri
Uttar-Pradesh,Kushinagar,Kushinagar
Uttar-Pradesh,Lakhimpur Kheri,Kheri
Uttar-Pradesh,Lalitpur,Lalitpur
Uttar-Pradesh,Lucknow,Lucknow
Uttar-Pradesh,Maharajganj,Mahrajganj
Uttar-Pradesh,Mahoba,Mahoba
Uttar-Pradesh,Mainpuri,Mainpuri
Uttar-Pradesh,Mathura,Mathura
Uttar-Pradesh,Mau,Mau
Uttar-Pradesh,Meerut,Meerut
Uttar-Pradesh,Mirzapur,Mirzapur
Uttar-Pradesh,Moradabad,Moradabad
Uttar-Pradesh,Muzaffarnagar,Muzaffarnagar
Uttar-Pradesh,Pilibhit,Pilibhit
Uttar-Pradesh,Pratapgarh,Pratapgarh
Uttar-Pradesh,Prayagraj,Prayagraj
Uttar-Pradesh,Rae Bareli,Rae Bareli
Uttar-Pradesh,Raebareli,Rae Bareli
Uttar-Pradesh,Rampur,Rampur
Uttar-Pradesh,Saharanpur,Saharanpur
Uttar-Pradesh,Sambhal,Sambhal
Uttar-Pradesh,Sant Kabeer Nagar,Sant Kabir Nagar
Uttar-Pradesh,Sant Kabir Nagar,Sant Kabir Nagar
Uttar-Pradesh,Shahjahanpur,Shahjahanpur
Uttar-Pradesh,Shamli,Shamli
Uttar-Pradesh,Shravasti,Shrawasti
Uttar-Pradesh,Siddharthnagar,Siddharthnagar
Uttar-Pradesh,Sitapur,Sitapur
Uttar-Pradesh,Sonbhadra,Sonbhadra
Uttar-Pradesh,Sultanpur,Sultanpur
Uttar-Pradesh,Unnao,Unnao
Uttar-Pradesh,Varanasi,Varanasi
Uttarakhand,Almora,Almora
Uttarakhand,Bageshwar,Bageshwar
Uttarakhand,Chamoli,Chamoli
Uttarakhand,Champawat,Champawat
Uttarakhand,Dehradun,Dehradun
Uttarakhand,Haridwar,Haridwar
Uttarakhand,Nainital,Nainital
Uttarakhand,Pauri Garhwal,Pauri Garhwal
Uttarakhand,Pithoragarh,Pithoragarh
Uttarakhand,Rudraprayag,Rudraprayag
Uttarakhand,Tehri Garhwal,Tehri Garhwal
Uttarakhand,Udham Singh Nagar,Udham Singh Nagar
Uttarakhand,Uttarkashi,Uttarkashi
West-Bengal,Alipurduar,Alipurduar
West-Bengal,Bankura,Bankura
West-Bengal,Birbhum,Birbhum
West-Bengal,Cooch Behar,Cooch Behar
West-Bengal,Dakshin Dinajpur,Dakshin Dinajpur
West-Bengal,Darjeeling,Darjeeling
West-Bengal,Darjiling,Darjeeling
West-Bengal,Hooghly,Hooghly
West-Bengal,Howrah,Howrah
West-Bengal,Jalpaiguri,Jalpaiguri
West-Bengal,Jhargram,Jhargram
West-Bengal,Kalimpong,Kalimpong
West-Bengal,Koch Bihar,Cooch Behar
West-Bengal,Kolkata,Kolkata
West-Bengal,Malda,Maldah
West-Bengal,Maldah,Maldah
West-Bengal,Murshidabad,Murshidabad
West-Bengal,Nadia,Nadia
West-Bengal,North Twenty Four Parganas,North 24 Parganas
West-Bengal,Paschim Bardhaman,Paschim Bardhaman
West-Bengal,Paschim Medinipur,Medinipur West
West-Bengal,Purba Bardhaman,Purba Bardhaman
West-Bengal,Purba Medinipur,Medinipur East
West-Bengal,Purulia,Purulia
West-Bengal,South Twenty Four Parganas,South 24 Parganas
West-Bengal,Uttar Dinajpur,Uttar Dinajpur
